Column1,after_arousal,before_arousal,after_valence,before_valence,weekend,sun,commute,occupants,length,flow,speed,sudden_events,steering,braking,ID
291,1.45307E+13,6.76312E+14,-1.1389E+14,-9.41242E+14,0,-8.80878E+14,0,0,-1.89136E+14,-3.88084E+14,-7.3529E+14,4.9413E+14,1.64069E+14,2.85031E+14,3
292,5.85286E+14,3.47393E+14,-1.1389E+14,-1.18018E+14,0,-8.09102E+14,0,0,-2.21582E+14,-8.90663E+14,-1.09933E+14,2.77307E+14,2.76244E+14,8.12696E+14,3
293,1.45307E+13,1.11487E+14,-1.1389E+14,-1.18018E+14,0,-2.7078E+14,0,0,-7.43418E+14,9.86474E+14,3.98992E+14,1.11496E+14,4.1298E+14,-2.95006E+14,3
294,1.45307E+13,5.66672E+14,-1.1389E+14,-1.18018E+14,0,-9.08791E+14,0,0,-3.00818E+14,-1.2233E+14,-1.22466E+13,-1.15234E+14,-3.76563E+14,1.22192E+14,3
295,1.45307E+13,1.44379E+14,-1.1389E+14,-1.18018E+14,0,4.42382E+14,1,0,-1.66788E+14,1.07998E+14,9.06825E+14,5.33672E+14,2.24999E+14,-5.29038E+14,3
296,1.0447E+14,1.11487E+14,-1.1389E+14,-1.18018E+14,0,1.404E+14,0,0,-1.88941E+14,2.99592E+13,4.65269E+14,-7.32182E+14,9.26418E+14,3.65334E+14,3
297,1.45307E+13,1.44379E+14,-1.1389E+14,-1.18018E+14,0,1.48375E+14,0,0,-2.75056E+12,-1.27647E+14,-1.24735E+13,-5.71622E+14,2.49302E+13,8.3239E+13,3
298,1.45307E+13,1.44379E+14,-1.1389E+14,-1.18018E+14,0,1.40799E+14,0,0,-1.60625E+14,-1.22728E+14,-1.09923E+14,-4.26543E+14,3.17117E+14,-5.21179E+14,3
299,1.45307E+13,1.44379E+14,-1.1389E+14,-1.18018E+14,0,1.45983E+14,0,0,-1.91185E+14,8.9626E+14,-6.51514E+14,-4.83421E+14,8.33056E+14,-5.83855E+14,3
300,1.29993E+14,1.44379E+14,-1.1389E+14,-1.18018E+14,0,-1.11277E+14,0,0,-2.39154E+13,3.63499E+14,-5.55656E+14,-7.69423E+14,4.13104E+14,8.08729E+13,3
301,1.45307E+13,1.44379E+14,-1.1389E+14,-1.18018E+14,0,-8.21065E+14,0,0,-2.48478E+14,-5.63211E+14,-8.04116E+14,-6.02853E+14,1.75992E+14,1.31262E+14,3
302,1.0447E+14,1.22451E+14,-7.46462E+14,-6.42568E+14,0,1.2764E+14,1,0,-4.63889E+14,9.43071E+14,6.14856E+14,-1.10264E+14,4.27373E+14,-6.92091E+14,3
